trial,unet_accuracy,unet_iou,unet_dice,effunet_accuracy,effunet_iou,effunet_dice,segnet_accuracy,segnet_iou,segnet_dice,segnext_accuracy,segnext_iou,segnext_dice
0,0.65,0.22,0.26,0.581,0.227,0.309,0.75,0.41,0.5,0.47,0.21,0.32
1,0.61,0.28,0.37,0.617,0.23,0.301,0.71,0.4,0.51,0.59,0.29,0.41
2,0.63,0.21,0.26,0.536,0.227,0.323,0.71,0.38,0.49,0.36,0.12,0.18
3,0.62,0.21,0.25,0.508,0.249,0.368,0.64,0.31,0.42,0.32,0.11,0.16
4,0.59,0.31,0.44,0.419,0.215,0.338,0.66,0.4,0.54,0.34,0.15,0.25
5,0.62,0.3,0.41,0.497,0.261,0.389,0.67,0.41,0.54,0.66,0.37,0.5
6,0.65,0.22,0.26,0.419,0.214,0.335,0.63,0.37,0.5,0.43,0.19,0.28
7,0.6,0.2,0.25,0.44,0.212,0.327,0.65,0.38,0.52,0.51,0.25,0.36
8,0.68,0.29,0.38,0.602,0.231,0.297,0.64,0.38,0.52,0.37,0.12,0.18
9,0.7,0.36,0.46,0.555,0.225,0.314,0.61,0.37,0.5,0.56,0.27,0.38
10,0.66,0.22,0.26,0.567,0.335,0.473,0.59,0.29,0.4,0.4,0.13,0.19
11,0.63,0.21,0.26,0.574,0.212,0.28,0.63,0.33,0.45,0.34,0.13,0.21
12,0.34,0.11,0.17,0.561,0.291,0.408,0.59,0.38,0.53,0.35,0.12,0.17
13,0.62,0.34,0.47,0.486,0.24,0.351,0.61,0.34,0.46,0.56,0.31,0.43
14,0.63,0.21,0.26,0.448,0.221,0.338,0.63,0.38,0.51,0.4,0.21,0.32
15,0.62,0.21,0.25,0.396,0.203,0.324,0.59,0.34,0.47,0.51,0.28,0.4
16,0.64,0.21,0.26,0.595,0.271,0.37,0.71,0.42,0.54,0.5,0.24,0.35
17,0.64,0.21,0.26,0.523,0.241,0.349,0.67,0.38,0.5,0.66,0.3,0.4
18,0.65,0.22,0.26,0.614,0.232,0.305,0.59,0.26,0.36,0.48,0.23,0.34
19,0.6,0.2,0.25,0.464,0.234,0.357,0.64,0.32,0.43,0.32,0.11,0.16
20,0.7,0.23,0.27,0.412,0.208,0.329,0.69,0.42,0.55,0.36,0.12,0.18
21,0.65,0.33,0.43,0.462,0.26,0.397,0.68,0.41,0.54,0.64,0.35,0.48
22,0.66,0.22,0.26,0.439,0.214,0.331,0.64,0.39,0.52,0.32,0.13,0.22
23,0.63,0.21,0.26,0.376,0.198,0.319,0.59,0.36,0.5,0.32,0.12,0.19
