trial,effunet,segnet,segnext,unet
0,0.227,0.41,0.21,0.22
1,0.23,0.4,0.29,0.28
2,0.227,0.38,0.12,0.21
3,0.249,0.31,0.11,0.21
4,0.215,0.4,0.15,0.31
5,0.261,0.41,0.37,0.3
6,0.214,0.37,0.19,0.22
7,0.212,0.38,0.25,0.2
8,0.231,0.38,0.12,0.29
9,0.225,0.37,0.27,0.36
10,0.335,0.29,0.13,0.22
11,0.212,0.33,0.13,0.21
12,0.291,0.38,0.12,0.11
13,0.24,0.34,0.31,0.34
14,0.221,0.38,0.21,0.21
15,0.203,0.34,0.28,0.21
16,0.271,0.42,0.24,0.21
17,0.241,0.38,0.3,0.21
18,0.232,0.26,0.23,0.22
19,0.234,0.32,0.11,0.2
20,0.208,0.42,0.12,0.23
21,0.26,0.41,0.35,0.33
22,0.214,0.39,0.13,0.22
23,0.198,0.36,0.12,0.21
